FIGHT_WEEK,FIGHT_NUMBER,JOE_FIGHTER,REENSTRA_FIGHTER,SOKOL_FIGHTER,WINNER,STOCK_REMAIN
2024-05-08,1,83,9,68,1,1
2024-05-08,2,36,19,67,1,1
2024-05-08,3,80,37,57,3,1
2024-05-08,4,3,54,27,1,1
2024-05-08,5,25,7,12,3,1
2024-05-08,6,46,26,32,3,1
2024-05-08,7,62,45,33,2,1
2024-05-08,8,2,65,72,3,1
2024-05-08,9,38,74,8,2,2
2024-05-08,10,16,79,22,1,1
2024-05-08,11,15,6,47,3,1
2024-05-08,12,73,81,69,1,1
2024-05-08,13,34,77,58,1,1
2024-05-08,14,1,18,52,2,1
2024-05-08,15,50,13,17,2,1
2024-05-08,16,76,56,53,2,1
2024-05-08,17,20,11,83,3,1
2024-05-08,18,64,23,39,2,1
2024-05-08,19,14,21,42,3,1
2024-05-08,20,75,40,49,1,1
2024-05-08,21,70,4,30,2,1
2024-05-08,22,60,43,78,1,1
2024-05-08,23,48,5,44,1,1
