"series_id","series_name","date_created","date_modified"
1,Super Mario,"2024-05-13 20:31:38","2024-05-13 20:31:46"
2,Donkey Kong,"2024-05-13 20:40:13","2024-05-13 20:40:13"
3,The Legend of Zelda,"2024-05-13 20:40:13","2024-05-13 20:40:13"
4,Metroid,"2024-05-13 20:40:13","2024-05-13 20:40:13"
5,Yoshi,"2024-05-13 20:40:13","2024-05-13 20:40:13"
6,Kirby,"2024-05-13 20:40:13","2024-05-13 20:40:13"
7,Star Fox,"2024-05-13 20:40:13","2024-05-13 20:40:13"
8,Pokemon,"2024-05-13 20:40:13","2024-05-13 20:40:13"
9,EarthBound,"2024-05-13 20:40:13","2024-05-13 20:40:13"
10,F-Zero,"2024-05-13 20:40:13","2024-05-13 20:40:13"
11,Ice Climber,"2024-05-13 20:40:13","2024-05-13 20:40:13"
12,Fire Emblem,"2024-05-13 20:40:13","2024-05-13 20:40:13"
13,Game And Watch,"2024-05-13 20:40:13","2024-05-13 20:40:13"
14,Kid Icarus,"2024-05-13 20:40:13","2024-05-13 20:40:13"
15,Wario Ware,"2024-05-13 20:40:13","2024-05-13 20:40:13"
16,Metal Gear Solid,"2024-05-13 20:40:13","2024-05-13 20:40:13"
17,Sonic the Hedgehog,"2024-05-13 20:40:13","2024-05-13 20:40:13"
18,Pikmin,"2024-05-13 20:40:13","2024-05-13 20:40:13"
19,ROB,"2024-05-13 20:40:13","2024-05-13 20:40:13"
20,Animal Crossing,"2024-05-13 20:40:13","2024-05-13 20:40:13"
21,Mega Man,"2024-05-13 20:40:13","2024-05-13 20:40:13"
22,Wii Fit,"2024-05-13 20:40:13","2024-05-13 20:40:13"
23,Punch Out,"2024-05-13 20:40:13","2024-05-13 20:40:13"
24,Pac-Man,"2024-05-13 20:40:13","2024-05-13 20:40:13"
25,Xenoblade Chronicles,"2024-05-13 20:40:13","2024-05-13 20:40:13"
26,Duck Hunt,"2024-05-13 20:40:13","2024-05-13 20:40:13"
27,Street Fighter,"2024-05-13 20:40:13","2024-05-13 20:40:13"
28,Final Fantasy 7,"2024-05-13 20:40:13","2024-05-13 20:40:13"
29,Bayonetta,"2024-05-13 20:40:13","2024-05-13 20:40:13"
30,Splatoon,"2024-05-13 20:40:13","2024-05-13 20:40:13"
31,Castlevania,"2024-05-13 20:40:13","2024-05-13 20:40:13"
32,Persona 5,"2024-05-13 20:40:13","2024-05-13 20:40:13"
33,Dragon Quest,"2024-05-13 20:40:13","2024-05-13 20:40:13"
34,Banjo Kazooie,"2024-05-13 20:40:13","2024-05-13 20:40:13"
35,Fatal Fury,"2024-05-13 20:40:13","2024-05-13 20:40:13"
36,Arms,"2024-05-13 20:40:13","2024-05-13 20:40:13"
37,Minecraft,"2024-05-13 20:40:13","2024-05-13 20:40:13"
38,Tekken,"2024-05-13 20:40:13","2024-05-13 20:40:13"
39,Kingdom Hearts,"2024-05-13 20:40:13","2024-05-13 20:40:13"
