"weekly_id","fight_number","lives_remain","date_created","date_modified","member_id","FIGHTER_ID","FIGHT_DATE"
1,1,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,83,"2024-05-08 00:00:00"
2,1,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,10,"2024-05-08 00:00:00"
3,1,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,68,"2024-05-08 00:00:00"
4,2,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,36,"2024-05-08 00:00:00"
5,2,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,19,"2024-05-08 00:00:00"
6,2,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,67,"2024-05-08 00:00:00"
7,3,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,80,"2024-05-08 00:00:00"
8,3,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,37,"2024-05-08 00:00:00"
9,3,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,57,"2024-05-08 00:00:00"
10,4,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,3,"2024-05-08 00:00:00"
11,4,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,54,"2024-05-08 00:00:00"
12,4,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,27,"2024-05-08 00:00:00"
13,5,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,25,"2024-05-08 00:00:00"
14,5,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,7,"2024-05-08 00:00:00"
15,5,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,12,"2024-05-08 00:00:00"
16,6,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,46,"2024-05-08 00:00:00"
17,6,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,26,"2024-05-08 00:00:00"
18,6,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,32,"2024-05-08 00:00:00"
19,7,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,62,"2024-05-08 00:00:00"
20,7,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,45,"2024-05-08 00:00:00"
21,7,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,33,"2024-05-08 00:00:00"
22,8,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,2,"2024-05-08 00:00:00"
23,8,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,65,"2024-05-08 00:00:00"
24,8,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,72,"2024-05-08 00:00:00"
25,9,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,38,"2024-05-08 00:00:00"
26,9,2,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,74,"2024-05-08 00:00:00"
27,9,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,8,"2024-05-08 00:00:00"
28,10,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,16,"2024-05-08 00:00:00"
29,10,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,79,"2024-05-08 00:00:00"
30,10,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,22,"2024-05-08 00:00:00"
31,11,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,15,"2024-05-08 00:00:00"
32,11,,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,6,"2024-05-08 00:00:00"
33,11,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,47,"2024-05-08 00:00:00"
34,12,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,73,"2024-05-08 00:00:00"
35,12,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,81,"2024-05-08 00:00:00"
36,12,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,69,"2024-05-08 00:00:00"
37,13,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,34,"2024-05-08 00:00:00"
38,13,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,77,"2024-05-08 00:00:00"
39,13,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,58,"2024-05-08 00:00:00"
40,14,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,1,"2024-05-08 00:00:00"
41,14,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,18,"2024-05-08 00:00:00"
42,14,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",3,52,"2024-05-08 00:00:00"
43,15,0,"2024-05-14 20:24:08","2024-05-14 20:24:08",1,50,"2024-05-08 00:00:00"
44,15,1,"2024-05-14 20:24:08","2024-05-14 20:24:08",2,13,"2024-05-08 00:00:00"
