"weekly_id","fight_number","lives_remain","date_created","date_modified","member_id","FIGHTER_ID","FIGHT_DATE","fight_type"
1,1,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,83,"2024-05-08 00:00:00",super
2,1,0,"2024-05-14 20:24:08","2024-05-28 10:55:03",2,10,"2024-05-08 00:00:00",super
3,1,0,"2024-05-14 20:24:08","2024-05-28 10:55:03",3,68,"2024-05-08 00:00:00",super
4,2,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,36,"2024-05-08 00:00:00",super
5,2,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,19,"2024-05-08 00:00:00",super
6,2,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,67,"2024-05-08 00:00:00",super
7,3,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,80,"2024-05-08 00:00:00",super
8,3,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,37,"2024-05-08 00:00:00",super
9,3,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,57,"2024-05-08 00:00:00",super
10,4,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,3,"2024-05-08 00:00:00",super
11,4,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,54,"2024-05-08 00:00:00",super
12,4,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,27,"2024-05-08 00:00:00",super
13,5,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,25,"2024-05-08 00:00:00",super
14,5,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,7,"2024-05-08 00:00:00",super
15,5,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,12,"2024-05-08 00:00:00",super
16,6,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,46,"2024-05-08 00:00:00",super
17,6,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,26,"2024-05-08 00:00:00",super
18,6,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,32,"2024-05-08 00:00:00",super
19,7,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,62,"2024-05-08 00:00:00",super
20,7,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,45,"2024-05-08 00:00:00",super
21,7,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,33,"2024-05-08 00:00:00",super
22,8,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,2,"2024-05-08 00:00:00",super
23,8,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,65,"2024-05-08 00:00:00",super
24,8,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,72,"2024-05-08 00:00:00",super
25,9,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,38,"2024-05-08 00:00:00",super
26,9,2,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,74,"2024-05-08 00:00:00",super
27,9,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,8,"2024-05-08 00:00:00",super
28,10,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,16,"2024-05-08 00:00:00",super
29,10,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,79,"2024-05-08 00:00:00",super
30,10,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,22,"2024-05-08 00:00:00",super
31,11,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,15,"2024-05-08 00:00:00",super
32,11,,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,6,"2024-05-08 00:00:00",super
33,11,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,47,"2024-05-08 00:00:00",super
34,12,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,73,"2024-05-08 00:00:00",super
35,12,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,81,"2024-05-08 00:00:00",super
36,12,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,69,"2024-05-08 00:00:00",super
37,13,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,34,"2024-05-08 00:00:00",super
38,13,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,77,"2024-05-08 00:00:00",super
39,13,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,58,"2024-05-08 00:00:00",super
40,14,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,1,"2024-05-08 00:00:00",super
41,14,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,18,"2024-05-08 00:00:00",super
42,14,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,52,"2024-05-08 00:00:00",super
43,15,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,50,"2024-05-08 00:00:00",super
44,15,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,13,"2024-05-08 00:00:00",super
45,15,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,17,"2024-05-08 00:00:00",super
46,16,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,76,"2024-05-08 00:00:00",super
47,16,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,56,"2024-05-08 00:00:00",super
48,16,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,53,"2024-05-08 00:00:00",super
49,17,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,20,"2024-05-08 00:00:00",super
50,17,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,11,"2024-05-08 00:00:00",super
51,17,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,82,"2024-05-08 00:00:00",super
52,18,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,64,"2024-05-08 00:00:00",super
53,18,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,23,"2024-05-08 00:00:00",super
54,18,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,39,"2024-05-08 00:00:00",super
55,19,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,14,"2024-05-08 00:00:00",super
56,19,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,21,"2024-05-08 00:00:00",super
57,19,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,42,"2024-05-08 00:00:00",super
58,20,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,75,"2024-05-08 00:00:00",super
59,20,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,40,"2024-05-08 00:00:00",super
60,20,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,49,"2024-05-08 00:00:00",super
61,21,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,70,"2024-05-08 00:00:00",super
62,21,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,4,"2024-05-08 00:00:00",super
63,21,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,30,"2024-05-08 00:00:00",super
64,22,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,60,"2024-05-08 00:00:00",super
65,22,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,43,"2024-05-08 00:00:00",super
66,22,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,78,"2024-05-08 00:00:00",super
67,23,1,"2024-05-14 20:24:08","2024-05-25 12:14:36",1,48,"2024-05-08 00:00:00",super
68,23,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",2,5,"2024-05-08 00:00:00",super
69,23,0,"2024-05-14 20:24:08","2024-05-25 12:14:36",3,44,"2024-05-08 00:00:00",super
70,1,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,46,"2024-05-15 00:00:00",no_super
71,1,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,37,"2024-05-15 00:00:00",no_super
72,1,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,67,"2024-05-15 00:00:00",no_super
73,2,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,3,"2024-05-15 00:00:00",no_super
74,2,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,26,"2024-05-15 00:00:00",no_super
75,2,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,68,"2024-05-15 00:00:00",no_super
76,3,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,25,"2024-05-15 00:00:00",no_super
77,3,2,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,19,"2024-05-15 00:00:00",no_super
78,3,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,8,"2024-05-15 00:00:00",no_super
79,4,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,83,"2024-05-15 00:00:00",no_super
80,4,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,10,"2024-05-15 00:00:00",no_super
81,4,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,72,"2024-05-15 00:00:00",no_super
82,5,2,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,36,"2024-05-15 00:00:00",no_super
83,5,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,7,"2024-05-15 00:00:00",no_super
84,5,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,22,"2024-05-15 00:00:00",no_super
85,6,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,16,"2024-05-15 00:00:00",no_super
86,6,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,79,"2024-05-15 00:00:00",no_super
87,6,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,47,"2024-05-15 00:00:00",no_super
88,7,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,34,"2024-05-15 00:00:00",no_super
89,7,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,6,"2024-05-15 00:00:00",no_super
90,7,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,53,"2024-05-15 00:00:00",no_super
91,8,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,15,"2024-05-15 00:00:00",no_super
92,8,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,74,"2024-05-15 00:00:00",no_super
93,8,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,27,"2024-05-15 00:00:00",no_super
94,9,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,80,"2024-05-15 00:00:00",no_super
95,9,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,54,"2024-05-15 00:00:00",no_super
96,9,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,82,"2024-05-15 00:00:00",no_super
97,10,1,"2024-05-28 11:18:17","2024-05-28 11:18:17",1,38,"2024-05-15 00:00:00",no_super
98,10,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",2,77,"2024-05-15 00:00:00",no_super
99,10,0,"2024-05-28 11:18:17","2024-05-28 11:18:17",3,52,"2024-05-15 00:00:00",no_super
